Qty;Value;Device;Parts
1;;LED5MM;D2
1;;MA04-1;USART
1;;MMBT3904LT1-NPN-SOT23-BEC;T1
1;;PINHD-1X2;PWR
1;;PINHD-1X6;ISP
1;0;R-US_0309/12;R4
1;0;R-US_R0603;R21
4;100;R-US_R0603;R14, R17, R18, R20
12;100n;C-USC0603;C1, C2, C3, C6, C8, C11, C13, C16, C17, C18, C19, C20
2;10k;R-US_R0603;R12, R19
2;10n;C-USC0603;C7, C9
1;18k;R-US_R0603;R5
2;1A/40V/500mV;DIODE-SCHOTTKY-SS14;D1, D3
6;1k;R-US_R0603;R9, R10, R11, R13, R15, R16
6;1u;C-USC0603;C4, C5, C10, C12, C14, C15
2;20k;R-US_R0603;R7, R8
1;2k;R-US_R0603;R6
2;4.7k;R-US_R0603;R2, R3
1;470;R-US_R0603;R1
1;7805TV;7805TV;REG1
1;ATMEGA169P-16AU;ATMEGA169P-16AU;U2
1;GDC0570_LCD;GDC0570_LCD;LCD1
1;LT1019S-2.5;LT1019S-2.5;IC1
1;MCP3421A0T-E/CH;MCP3421A0T-E/CH;U$2
1;MCP6N11;MCP6N11;U$3
1;MCP6V02-E/SN;MCP6V02-E/SN;U3
4;MCS08;MCS08;S+, S-, V+, V-
1;SHORT32;SHORT32;U$10
1;b2;TAC_SWITCHPTH;S2
1;hold;TAC_SWITCHPTH;S1
