"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"LED5MM";"LED_5MM";"D2";"LED (Generic)";"";
"1";"";"MA04-1";"MA04-1";"USART";"PIN HEADER";"";
"1";"";"MMBT3904LT1-NPN-SOT23-BEC";"SOT23-BEC";"T1";"NPN Transistror";"";
"1";"";"PINHD-1X2";"1X02";"PWR";"PIN HEADER";"";
"1";"";"PINHD-1X6";"1X06";"ISP";"PIN HEADER";"";
"1";"0";"R-US_0309/12";"0309/12";"R4";"RESISTOR, American symbol";"";
"1";"0";"R-US_R0603";"R0603";"R21";"RESISTOR, American symbol";"";
"4";"100";"R-US_R0603";"R0603";"R14, R17, R18, R20";"RESISTOR, American symbol";"";
"12";"100n";"C-USC0603";"C0603";"C1, C2, C3, C6, C8, C11, C13, C16, C17, C18, C19, C20";"CAPACITOR, American symbol";"";
"2";"10k";"R-US_R0603";"R0603";"R12, R19";"RESISTOR, American symbol";"";
"2";"10n";"C-USC0603";"C0603";"C7, C9";"CAPACITOR, American symbol";"";
"1";"18k";"R-US_R0603";"R0603";"R5";"RESISTOR, American symbol";"";
"2";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"D1, D3";"Schottky diode";"";
"6";"1k";"R-US_R0603";"R0603";"R9, R10, R11, R13, R15, R16";"RESISTOR, American symbol";"";
"6";"1u";"C-USC0603";"C0603";"C4, C5, C10, C12, C14, C15";"CAPACITOR, American symbol";"";
"2";"20k";"R-US_R0603";"R0603";"R7, R8";"RESISTOR, American symbol";"";
"1";"2k";"R-US_R0603";"R0603";"R6";"RESISTOR, American symbol";"";
"2";"4.7k";"R-US_R0603";"R0603";"R2, R3";"RESISTOR, American symbol";"";
"1";"470";"R-US_R0603";"R0603";"R1";"RESISTOR, American symbol";"";
"1";"7805TV";"7805TV";"TO220V";"REG1";"Positive VOLTAGE REGULATOR";"";
"1";"ATMEGA169P-16AU";"ATMEGA169P-16AU";"QFP80P1600X1600X120-64N";"U2";"8-bit Microcontroller with 16K Bytes In-System Programmable Flash";"";
"1";"GDC0570_LCD";"GDC0570_LCD";"GDC0570_LCD";"LCD1";"";"";
"1";"LT1019S-2.5";"LT1019S-2.5";"SOIC8";"IC1";"Precision Voltage Reference";"";
"1";"MCP3421A0T-E/CH";"MCP3421A0T-E/CH";"SOT95P270X145-6N";"U$2";"Analog-to-Digital Converter";"";
"1";"MCP6N11";"MCP6N11";"SOIC8";"U$3";"";"";
"1";"MCP6V02-E/SN";"MCP6V02-E/SN";"SOIC127P600X175-8N";"U3";"Auto-Zeroed Op Amps";"";
"4";"MCS08";"MCS08";"MCS08";"S+, S-, V+, V-";"SOLDER PAD MC S0,8, drill 1.2 mm, distributor Buerklin, 08F130";"";
"1";"SHORT32";"SHORT32";"SHORT_32";"U$10";"";"";
"1";"b2";"TAC_SWITCHPTH";"TACTILE-PTH";"S2";"Momentary Switch";"";
"1";"hold";"TAC_SWITCHPTH";"TACTILE-PTH";"S1";"Momentary Switch";"";
